"Identifikator","Perioden Id","Jahres Id","Geräte_Name","Passives_Gerät","Datum","Modus","Konto","Konto Name","Mitarbeiter","Referenz","Typ","Mng","Einzelpreis","FinalPreis","Rabatt","Materialverlust/Bruch","Gratis","Buchung","SKU","Artikel","Gruppe","StatGruppe","SteuerName","SteuerRate","VorSteuern","SteuernMenge","Profil"
"S1057915.328036","SP1057915.165.1","SY1057915.2026.284315","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:41","Prod","A1057915.41030","Mitte-Theke, Tisch 26","Placido(917627)","S1057915.328036","SALE","1","5.5","5.5","0.0","0.0","0.0","0.0","1355","Rauch Kirsch-Eistee 0,33","Getränke(1327290923352111)","AFG","MwSt. 8.1%","1.081","5.087882","0.412118","Tischservice"
"S1057915.328037","SP1057915.165.2","SY1057915.2026.284316","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:41","Prod","A1057915.41030","Mitte-Theke, Tisch 26","Placido(917627)","S1057915.328037","SALE","1","5.5","5.5","0.0","0.0","0.0","0.0","1355","Rauch Kirsch-Eistee 0,33","Getränke(1327290923352111)","AFG","MwSt. 8.1%","1.081","5.087882","0.412118","Tischservice"
"S1057915.328038","SP1057915.165.3","SY1057915.2026.284317","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:41","Prod","A1057915.41030","Mitte-Theke, Tisch 26","Placido(917627)","S1057915.328038","SALE","1","5.5","5.5","0.0","0.0","0.0","0.0","1355","Rauch Kirsch-Eistee 0,33","Getränke(1327290923352111)","AFG","MwSt. 8.1%","1.081","5.087882","0.412118","Tischservice"
"S1057915.328039","SP1057915.165.4","SY1057915.2026.284318","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:42","Prod","A1057915.41030","Mitte-Theke, Tisch 26","Placido(917627)","S1057915.328039","SALE","1","5.0","5.0","0.0","0.0","0.0","0.0","1210","Goldberg Ginger Ale 0,2","Getränke(1327290923352111)","AFG","MwSt. 8.1%","1.081","4.625347","0.374653","Tischservice"
"S1057915.328040","SP1057915.165.5","SY1057915.2026.284319","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:42","Prod","A1057915.41030","Mitte-Theke, Tisch 26","Placido(917627)","S1057915.328040","SALE","1","19.9","19.9","0.0","0.0","0.0","0.0","20964","Pizza Margherita","Pizza(1327290923352292)","[]","MwSt. 8.1%","1.081","18.408881","1.491119","Tischservice"
"S1057915.328041","SP1057915.165.6","SY1057915.2026.284320","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:43","Prod","A1057915.41030","Mitte-Theke, Tisch 26","Placido(917627)","S1057915.328041","SALE","1","26.0","26.0","0.0","0.0","0.0","0.0","1303","Pizza Don Diablo","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","24.051804","1.948196","Tischservice"
"S1057915.328042","SP1057915.165.7","SY1057915.2026.284321","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:43","Prod","A1057915.41030","Mitte-Theke, Tisch 26","Placido(917627)","S1057915.328042","SALE","1","28.9","28.9","0.0","0.0","0.0","0.0","1406","Pizza Parma 24","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","26.734505","2.165495","Tischservice"
"S1057915.328043","SP1057915.165.8","SY1057915.2026.284322","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:43","Prod","A1057915.41031","Tisch 304","Placido(917627)","S1057915.328043","SALE","1","8.5","8.5","0.0","0.0","0.0","0.0","1226","Amalfi Limonade 0,4","Getränke(1327290923352111)","","MwSt. 8.1%","1.081","7.86309","0.63691","Tischservice"
"S1057915.328044","SP1057915.165.9","SY1057915.2026.284323","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:43","Prod","A1057915.41031","Tisch 304","Placido(917627)","S1057915.328044","SALE","1","28.9","28.9","0.0","0.0","0.0","0.0","1448","The Rock","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","26.734505","2.165495","Tischservice"
"S1057915.328045","SP1057915.165.10","SY1057915.2026.284324","MASTER(1057915)","Iphone 6(1057921)","25.05.26 11:43","Prod","A1057915.41031","Tisch 304","Placido(917627)","S1057915.328045","SALE","1","8.5","8.5","0.0","0.0","0.0","0.0","1422","Pure Lady 0,4","Getränke(1327290923352111)","","MwSt. 8.1%","1.081","7.86309","0.63691","Tischservice"
