"Identifikator","Perioden Id","Jahres Id","Geräte_Name","Passives_Gerät","Datum","Modus","Konto","Konto Name","Mitarbeiter","Referenz","Typ","Mng","Einzelpreis","FinalPreis","Rabatt","Materialverlust/Bruch","Gratis","Buchung","SKU","Artikel","Gruppe","StatGruppe","SteuerName","SteuerRate","VorSteuern","SteuernMenge","Profil"
"S1055861.306786","SP1055861.169.1","SY1055861.2026.254827","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176182","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306787","SP1055861.169.2","SY1055861.2026.254828","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176183","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306788","SP1055861.169.3","SY1055861.2026.254829","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176184","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306789","SP1055861.169.4","SY1055861.2026.254830","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176185","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306790","SP1055861.169.5","SY1055861.2026.254831","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176186","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306791","SP1055861.169.6","SY1055861.2026.254832","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176187","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306792","SP1055861.169.7","SY1055861.2026.254833","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176188","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306793","SP1055861.169.8","SY1055861.2026.254834","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176195","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306794","SP1055861.169.9","SY1055861.2026.254835","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176220","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
"S1055861.306795","SP1055861.169.10","SY1055861.2026.254836","iPad38(1055861)","iPad38(1055861)","26.05.26 05:30","Prod","A1055861.35138","Samuele","Derek(817833)","S1055861.176221","TRANSITORY_COMP","-1","2.5","-2.5","0.0","0.0","0.0","0.0","1306","Espresso","Getränke(1020286661035562)","Heißgetränke","MwSt. 19%","1.19","-2.10084","-0.39916","Tischservice"
