"Identifikator","Perioden Id","Jahres Id","Geräte_Name","Passives_Gerät","Datum","Modus","Konto","Konto Name","Mitarbeiter","Referenz","Typ","Mng","Einzelpreis","FinalPreis","Rabatt","Materialverlust/Bruch","Gratis","Buchung","SKU","Artikel","Gruppe","StatGruppe","SteuerName","SteuerRate","VorSteuern","SteuernMenge","Profil"
"S1057915.329670","SP1057915.166.1","SY1057915.2026.285949","MASTER(1057915)","MASTER(1057915)","26.05.26 09:56","Prod","A1057915.41248","Bestellung 2","Aimen(953050)","S1057915.329451","TRANSITORY_COMP","-1","28.9","-28.9","0.0","0.0","0.0","0.0","1406","Pizza Parma 24","Pizza(1327290923352292)","Pizza","MwSt. 2.6%","1.026","-28.167641","-0.732359","Take away"
"S1057915.329671","SP1057915.166.2","SY1057915.2026.285950","MASTER(1057915)","MASTER(1057915)","26.05.26 09:56","Prod","A1057915.41249","Bestellung 2","Aimen(953050)","S1057915.329451","TRANSITORY_OPEN","1","28.9","28.9","0.0","0.0","0.0","0.0","1406","Pizza Parma 24","Pizza(1327290923352292)","Pizza","MwSt. 2.6%","1.026","28.167641","0.732359","Take away"
"S1057915.329672","SP1057915.166.3","SY1057915.2026.285951","MASTER(1057915)","Iphone 8(1057920)","26.05.26 11:37","Prod","A1057915.41250","Bestellung 1","Tomas(1008589)","S1057915.329672","SALE","1","19.9","19.9","0.0","0.0","0.0","0.0","20964","Pizza Margherita","Pizza(1327290923352292)","[]","MwSt. 2.6%","1.026","19.395712","0.504288","Take away"
"S1057915.329673","SP1057915.166.4","SY1057915.2026.285952","MASTER(1057915)","Iphone 8(1057920)","26.05.26 11:37","Prod","A1057915.41250","Bestellung 1","Tomas(1008589)","S1057915.329673","SALE","1","23.0","23.0","0.0","0.0","0.0","0.0","1331","Green Mamba","Pizza(1327290923352292)","Pizza","MwSt. 2.6%","1.026","22.417154","0.582846","Take away"
"S1057915.329674","SP1057915.166.5","SY1057915.2026.285953","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:39","Prod","A1057915.41251","Tisch 404","Placido(917627)","S1057915.329674","SALE","1","15.9","15.9","0.0","0.0","0.0","0.0","4823","Grünzeug.","Salate(1327290923352297)","","MwSt. 8.1%","1.081","14.708603","1.191397","Tischservice"
"S1057915.329675","SP1057915.166.6","SY1057915.2026.285954","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:39","Prod","A1057915.41251","Tisch 404","Placido(917627)","S1057915.329675","SALE","1","19.9","19.9","0.0","0.0","0.0","0.0","20964","Pizza Margherita","Pizza(1327290923352292)","[]","MwSt. 8.1%","1.081","18.408881","1.491119","Tischservice"
"S1057915.329676","SP1057915.166.7","SY1057915.2026.285955","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:39","Prod","A1057915.41251","Tisch 404","Placido(917627)","S1057915.329676","SALE","1","8.0","8.0","0.0","0.0","0.0","0.0","719","Acqua Morelli sparkling 0,75l","Getränke(1327290923352111)","[]","MwSt. 8.1%","1.081","7.400555","0.599445","Tischservice"
"S1057915.329677","SP1057915.166.8","SY1057915.2026.285956","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:41","Prod","A1057915.41252","Mitte-Theke, Tisch 34","Placido(917627)","S1057915.329677","SALE","1","13.0","13.0","0.0","0.0","0.0","0.0","1279","Campari Spritz","Getränke(1327290923352111)","","MwSt. 8.1%","1.081","12.025902","0.974098","Tischservice"
"S1057915.329678","SP1057915.166.9","SY1057915.2026.285957","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:41","Prod","A1057915.41252","Mitte-Theke, Tisch 34","Placido(917627)","S1057915.329678","SALE","1","13.0","13.0","0.0","0.0","0.0","0.0","1279","Campari Spritz","Getränke(1327290923352111)","","MwSt. 8.1%","1.081","12.025902","0.974098","Tischservice"
"S1057915.329679","SP1057915.166.10","SY1057915.2026.285958","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:41","Prod","A1057915.41252","Mitte-Theke, Tisch 34","Placido(917627)","S1057915.329679","SALE","1","8.0","8.0","0.0","0.0","0.0","0.0","718","Acqua Morelli naturale 0,75l","Getränke(1327290923352111)","[]","MwSt. 8.1%","1.081","7.400555","0.599445","Tischservice"
"S1057915.329680","SP1057915.166.11","SY1057915.2026.285959","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:42","Prod","A1057915.41253","Tisch 506","Placido(917627)","S1057915.329680","SALE","1","8.0","8.0","0.0","0.0","0.0","0.0","718","Acqua Morelli naturale 0,75l","Getränke(1327290923352111)","[]","MwSt. 8.1%","1.081","7.400555","0.599445","Tischservice"
"S1057915.329681","SP1057915.166.12","SY1057915.2026.285960","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:43","Prod","A1057915.41254","Tisch 503","Placido(917627)","S1057915.329681","SALE","1","17.9","17.9","0.0","0.0","0.0","0.0","1383","Pizza Marinara","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","16.558742","1.341258","Tischservice"
"S1057915.329682","SP1057915.166.13","SY1057915.2026.285961","MASTER(1057915)","Iphone 6(1057921)","26.05.26 11:43","Prod","A1057915.41254","Tisch 503","Placido(917627)","S1057915.329682","SALE","1","0.0","0.0","0.0","0.0","0.0","0.0","3814","ohne Knoblauch","Pizza(1327290923352292)","Pizza","MwSt. 8.1%","1.081","0","0","Tischservice"
