"Identifikator","Perioden Id","Jahres Id","Geräte_Name","Passives_Gerät","Datum","Modus","Konto","Konto Name","Mitarbeiter","Referenz","Typ","Mng","Einzelpreis","FinalPreis","Rabatt","Materialverlust/Bruch","Gratis","Buchung","SKU","Artikel","Gruppe","StatGruppe","SteuerName","SteuerRate","VorSteuern","SteuernMenge","Profil"
"S911659.2338088","SP911659.637.1","SY911659.2026.521888","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312644","Bestellung TU842","Online Order(691144)","S911659.1931542","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","15580","Bacon N Cheese (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","OA Take-Away"
"S911659.2338089","SP911659.637.2","SY911659.2026.521889","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312644","Bestellung TU842","Online Order(691144)","S911659.1931543","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","15700","Pizza White Tuna (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","OA Take-Away"
"S911659.2338090","SP911659.637.3","SY911659.2026.521890","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312645","Bestellung CH791","Online Order(691144)","S911659.1945809","TRANSITORY_COMP","-1","10.0","-10.0","0.0","0.0","0.0","0.0","16131","Pizza Nutella (Webshop)","Desserts(1020286661039931)","","MwSt. 7%","1.07","-9.345794","-0.654206","OA Take-Away"
"S911659.2338091","SP911659.637.4","SY911659.2026.521891","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312645","Bestellung CH791","Online Order(691144)","S911659.1945810","TRANSITORY_COMP","-2","15.0","-30.0","0.0","0.0","0.0","0.0","15292","Pizza Margherita di Bufalina (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-28.037383","-1.962617","OA Take-Away"
"S911659.2338092","SP911659.637.5","SY911659.2026.521892","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312646","Bestellung KY243","Online Order(691144)","S911659.1947671","TRANSITORY_COMP","-1","15.0","-15.0","0.0","0.0","0.0","0.0","15292","Pizza Margherita di Bufalina (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.018692","-0.981308","OA Take-Away"
"S911659.2338093","SP911659.637.6","SY911659.2026.521893","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312647","Bestellung LY092","Online Order(691144)","S911659.2002897","TRANSITORY_COMP","-1","16.0","-16.0","0.0","0.0","0.0","0.0","15556","Pizza Vegan Salami (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-14.953271","-1.046729","OA Take-Away"
"S911659.2338094","SP911659.637.7","SY911659.2026.521894","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312648","Bestellung RV130","Online Order(691144)","S911659.2009256","TRANSITORY_COMP","-2","18.0","-36.0","0.0","0.0","0.0","0.0","15532","Pizza The Beast (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-33.64486","-2.35514","OA Take-Away"
"S911659.2338095","SP911659.637.8","SY911659.2026.521895","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312648","Bestellung RV130","Online Order(691144)","S911659.2009257","TRANSITORY_COMP","-1","18.0","-18.0","0.0","0.0","0.0","0.0","15412","The Rock (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-16.82243","-1.17757","OA Take-Away"
"S911659.2338096","SP911659.637.9","SY911659.2026.521896","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312649","Bestellung TX983","Online Order(691144)","S911659.2009503","TRANSITORY_COMP","-1","17.0","-17.0","0.0","0.0","0.0","0.0","15604","Pizza Burrata Bomb (Webshop)","Pizza(1020286661040718)","Pizza","MwSt. 7%","1.07","-15.88785","-1.11215","OA Take-Away"
"S911659.2338097","SP911659.637.10","SY911659.2026.521897","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312649","Bestellung TX983","Online Order(691144)","S911659.2009504","TRANSITORY_COMP","-1","9.0","-9.0","0.0","0.0","0.0","0.0","15123","Focaccia (Webshop)","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","-8.411215","-0.588785","OA Take-Away"
"S911659.2338098","SP911659.637.11","SY911659.2026.521898","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312649","Bestellung TX983","Online Order(691144)","S911659.2009505","TRANSITORY_COMP","-1","0.0","0.0","0.0","0.0","0.0","0.0","6907","Aioli","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","OA Take-Away"
"S911659.2338099","SP911659.637.12","SY911659.2026.521899","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312649","Bestellung TX983","Online Order(691144)","S911659.2009506","TRANSITORY_COMP","-1","0.0","0.0","0.0","0.0","0.0","0.0","17104","Nduja Mayo","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","OA Take-Away"
"S911659.2338100","SP911659.637.13","SY911659.2026.521900","Master(911659)","Master(911659)","26.05.26 10:28","Prod","A911659.312649","Bestellung TX983","Online Order(691144)","S911659.2009507","TRANSITORY_COMP","-1","0.0","0.0","0.0","0.0","0.0","0.0","1243","Basilikum-Pesto Dip","Vorspeisen(1020286661042526)","","MwSt. 7%","1.07","0","0","OA Take-Away"
